"id","domain","subdomain","question","conversation_id","turn_number","expected_intent","expected_entity_type","expected_entity_name","expected_output_type","expected_time_scope","expected_behavior","expected_answer_contains","expected_answer_not_contains","expected_result_min","expected_result_max","ambiguity_expected","zero_result_allowed","priority","notes"
"AC-053","current_communities","ranking","community with most members","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-054","current_communities","ranking","which community has the most number","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-055","current_communities","ranking","which community has the highest membership","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-056","current_communities","ranking","smallest community","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-057","current_communities","ranking","which is the smallest community","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-058","current_communities","ranking","community with fewest members","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-059","current_communities","ranking","which community has minimum strength","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-060","current_communities","members","who lives in St Antony Community Kolkata","","","community_membership_history","community","St Antony Community Kolkata","records","","PASS","","","","","false","false","P1",""
"AC-061","current_communities","members","members of St Antony Community Kolkata","","","community_membership_history","community","St Antony Community Kolkata","records","","PASS","","","","","false","false","P1",""
"AC-062","current_communities","members","how many members are in St Antony Community Kolkata","","","community_membership_history","community","St Antony Community Kolkata","records","","PASS","","","","","false","false","P1",""
"AC-063","current_communities","superior","who is the superior of St Antony Community Kolkata","","","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-064","current_communities","superior","who leads St Antony Community Kolkata","","","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-065","current_communities","browse","list all communities","","","community_directory","community","","records","","PASS","","","","","false","false","P2","Wave 1 authorized active community directory"
"AC-066","current_communities","browse","show communities","","","community_directory","community","","records","","PASS","","","","","false","false","P2","Wave 1 authorized active community directory"
"AC-067","current_communities","browse","where is St Antony Community","","","community_profile","community","St Antony Community","records","","PASS","","","","","false","false","P2","Wave 1 authorized community profile"
"AC-068","current_communities","browse","show St Antony Community","","","community_profile","community","St Antony Community","records","","PASS","","","","","false","false","P2","Wave 1 authorized community profile"
"AC-069","current_communities","browse","tell me about St Antony Community","","","community_profile","community","St Antony Community","records","","PASS","","","","","false","false","P2","Wave 1 authorized community profile"
"AC-070","current_communities","browse","list closed communities","","","community_directory","community","","records","","PASS","","","","","false","false","P2","Wave 2 current closed-state directory; does not claim closure dates"
"AC-071","historical_community","membership","who lived in St Antony Community Kolkata in 2015","","","community_membership_history","community","","records","2015","PASS","","","","","false","false","P0",""
"AC-072","historical_community","membership","who were the members of St Antony Community in 2015","","","community_membership_history","community","","records","2015","PASS","","","","","false","false","P0",""
"AC-073","historical_community","membership","who were the community members of St. Antony Community in 2015","","","community_membership_history","community","","records","2015","PASS","","","","","false","false","P0",""
"AC-074","historical_community","membership","members St Antony community 2015","","","community_membership_history","community","","records","2015","PASS","","","","","false","false","P0",""
"AC-075","historical_community","membership","who lived in St Antony Community kolkota in 2015","","","community_membership_history","community","","records","2015","PASS","","","","","false","false","P0",""
"AC-076","historical_community","membership","how many members were in St Antony Community in 2015","","","community_membership_history","community","","records","2015","PASS","","","","","false","false","P0",""
"AC-077","historical_community","superior","who was the superior of St Antony Community in 2015","","","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-078","historical_community","superior","former superiors of St Antony Community","","","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-079","historical_community","superior","show superior history of St Antony Community","","","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-080","historical_community","movement","community membership in 2010","","","clarification_needed","","","records","2010","CLARIFY","","","","","false","false","P2","Wave 2 safely requires a named community"
"AC-081","historical_community","movement","members between 2010 and 2015","","","clarification_needed","","","records","2010..2015","CLARIFY","","","","","false","false","P2","Wave 2 safely requires a named community"
"AC-082","historical_community","movement","who joined the community in 2015","","","clarification_needed","","","records","2015","CLARIFY","","","","","false","false","P2","Wave 2 safely requires a named community"
"AC-083","historical_community","movement","who left the community in 2015","","","clarification_needed","","","records","2015","CLARIFY","","","","","false","false","P2","Wave 2 safely requires a named community"
"AC-084","historical_community","movement","history of St Antony Community","","","community_history","community","St Antony Community","records","","PASS","","","","","false","false","P2","Wave 2 effective-dated community timeline"
"AC-085","historical_community","movement","how many members were there in 2015","","","clarification_needed","","","count","2015","CLARIFY","","","","","false","false","P2","Missing community scope is rejected with a community clarification"
"AC-086","historical_community","movement","which was the largest community in 2015","","","historical_community_ranking","community","","records","2015","PASS","","","","","false","false","P2","Wave 2 effective-dated historical ranking"
"AC-087","historical_community","movement","community strength in 2010","","","clarification_needed","","","records","2010","CLARIFY","","","","","false","false","P2","Wave 2 safely requires a named community"
"AC-088","historical_community","movement","communities opened in 2015","","","community_lifecycle","community","","records","2015","PASS","","","","","false","false","P2","Recorded OPENED lifecycle events only"
"AC-089","historical_community","movement","communities closed in 2015","","","community_lifecycle","community","","records","2015","PASS","","","","","false","false","P2","Recorded CLOSED lifecycle events only"
"AC-090","historical_community","movement","who transferred from St Antony Community in 2015","","","formal_transfer","community","St Antony Community","records","2015","PASS","","","","","false","false","P2","Confirmed explicit formal-transfer records only; assignment transitions are never substituted"
"AC-091","ministries","assignment","who works at St Antony School","","","ministry_assignment_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-092","ministries","assignment","who is assigned to St Antony School","","","ministry_assignment_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-093","ministries","assignment","who served at St Antony School","","","ministry_assignment_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-094","ministries","assignment","which members worked at St Antony School","","","ministry_assignment_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-095","ministries","leadership","who was principal of St Antony School in 2015","","","ministry_leadership_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-096","ministries","leadership","who were the principals of St Antony School","","","ministry_leadership_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-097","ministries","leadership","show principal history for St Antony School","","","ministry_leadership_history","ministry","","records","","PASS","","","","","false","false","P1",""
"AC-098","ministries","member_history","ministry history of Joseph Varghese","","","member_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-099","ministries","member_history","where has Joseph Varghese served","","","member_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-100","ministries","member_history","where did Joseph Varghese serve in 2010","","","member_historical_location","member","Joseph Varghese","records","2010","PASS","","","","","false","false","P1",""
"AC-101","ministries","location","who is currently serving in Kerala","","","current_location_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-102","ministries","location","which members are currently outside India","","","current_location_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-103","ministries","browse","how many ministries are there","","","ministry_directory","ministry","","count","","PASS","","","","","false","false","P2","Wave 1 authorized ministry count"
"AC-104","ministries","browse","list all ministries","","","ministry_directory","ministry","","records","","PASS","","","","","false","false","P2","Wave 1 authorized ministry directory/type filter"
"AC-105","ministries","browse","list schools","","","ministry_directory","ministry","","records","","PASS","","","","","false","false","P2","Wave 1 authorized ministry directory/type filter"
"AC-106","ministries","browse","show parishes","","","ministry_directory","ministry","","records","","PASS","","","","","false","false","P2","Wave 1 authorized ministry directory/type filter"
"AC-107","ministries","browse","show hospitals","","","ministry_directory","ministry","","records","","PASS","","","","","false","false","P2","Wave 1 authorized ministry directory/type filter"
"AC-108","ministries","browse","show formation houses","","","ministry_directory","ministry","","records","","PASS","","","","","false","false","P2","Wave 1 authorized ministry directory/type filter"
"AC-109","ministries","browse","members working in schools","","","ministry_type_staffing","member","","records","","PASS","","","","","false","false","P2","Wave 2 current effective ministry-type staffing"
"AC-110","ministries","browse","members working in parishes","","","ministry_type_staffing","member","","records","","PASS","","","","","false","false","P2","Wave 2 current effective ministry-type staffing"
"AC-111","ministries","browse","how many members are in education ministry","","","ministry_type_staffing","member","","count","","PASS","","","","","false","false","P2","Wave 2 unique current education-ministry member count"
"AC-112","ministries","browse","where is St Antony School","","","ministry_profile","ministry","St Antony School","records","","PASS","","","","","false","false","P2","Wave 1 authorized ministry profile"
"AC-113","ministries","browse","show active schools","","","ministry_directory","ministry","","records","","PASS","","","","","false","false","P2","Wave 1 active ministry type filter"
"AC-114","leadership","current","who is provincial","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-115","leadership","current","who is the provincial","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-116","leadership","current","current provincial","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-117","leadership","current","who is assistant provincial","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-118","leadership","current","who is provincial secretary","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-119","leadership","current","who is secretary","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-120","leadership","current","who are the provincial councillors","","","appointment_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-121","leadership","historical","who was provincial in 2005","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-122","leadership","historical","who was the provincial in 2005","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-123","leadership","historical","provincial 2005","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-124","leadership","historical","who served as provincial during 2005","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-125","leadership","historical","who was secretary in 2015","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-126","leadership","historical","who was bursar in 2015","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-127","leadership","historical","who led the province in 2005","","","historical_office_holder","member","","records","","PASS","","","","","false","false","P0",""
"AC-128","leadership","council","who were the provincial council members in 2020","","","governance_body_membership","governance_body","","records","2020","PASS","","","","","false","false","P0",""
"AC-129","leadership","council","provincial council 2020","","","governance_body_membership","governance_body","","records","2020","PASS","","","","","false","false","P0",""
"AC-130","leadership","council","who was on the provincial council in 2020","","","governance_body_membership","governance_body","","records","2020","PASS","","","","","false","false","P0",""
"AC-131","leadership","council","council members in 2020","","","governance_body_membership","governance_body","","records","2020","PASS","","","","","false","false","P0",""
"AC-132","leadership","council","members of provincial council in 2020","","","governance_body_membership","governance_body","","records","2020","PASS","","","","","false","false","P0",""
"AC-133","leadership","advanced","who is bursar","","","appointment_search","member","","records","","PASS","","","","","false","false","P2","Wave 1 canonical Provincial Bursar aliases"
"AC-134","leadership","advanced","who is provincial treasurer","","","appointment_search","member","","records","","PASS","","","","","false","false","P2","Wave 1 canonical Provincial Bursar aliases"
"AC-135","leadership","advanced","list past provincials","","","leadership_history","member","","records","","PASS","","","","","false","false","P2","Wave 1 effective-dated Provincial history"
"AC-136","leadership","advanced","history of provincials","","","leadership_history","member","","records","","PASS","","","","","false","false","P2","Wave 1 effective-dated Provincial history"
"AC-137","leadership","advanced","who succeeded Thomas Mathew","","","leadership_successor","member","Thomas Mathew","records","","PASS","","","","","false","false","P2","Wave 2 next recorded non-ambiguous Provincial term"
"AC-138","leadership","advanced","how long did Joseph Varghese serve as provincial","","","member_office_tenure","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 2 effective-dated Provincial tenure"
"AC-139","vocation","first_profession","who made first profession in 1995","","","profession_cohort","member","","records","1995","PASS","","","","","false","true","P0",""
"AC-140","vocation","first_profession","how many made first profession in 1995","","","profession_cohort","","","count","1995","PASS","","","","","false","true","P1",""
"AC-141","vocation","first_profession","who made first vows in 1995","","","profession_cohort","member","","records","1995","PASS","","","","","false","true","P0",""
"AC-142","vocation","first_profession","how many made first vows in 1995","","","profession_cohort","","","count","1995","PASS","","","","","false","true","P1",""
"AC-143","vocation","first_profession","who made temporary profession in 1995","","","profession_cohort","member","","records","1995","PASS","","","","","false","true","P0",""
"AC-144","vocation","first_profession","how many made temporary profession in 1995","","","profession_cohort","","","count","1995","PASS","","","","","false","true","P1",""
"AC-145","vocation","first_profession","who made temporary vows in 1995","","","profession_cohort","member","","records","1995","PASS","","","","","false","true","P0",""
"AC-146","vocation","first_profession","how many made temporary vows in 1995","","","profession_cohort","","","count","1995","PASS","","","","","false","true","P1",""
"AC-147","vocation","final_profession","who made final profession in 2020","","","vocation_cohort","member","","records","2020","PASS","","","","","false","true","P0",""
"AC-148","vocation","final_profession","how many made final profession in 2020","","","vocation_cohort","","","count","2020","PASS","","","","","false","true","P1",""
"AC-149","vocation","final_profession","who made final vows in 2020","","","vocation_cohort","member","","records","2020","PASS","","","","","false","true","P0",""
"AC-150","vocation","final_profession","how many made final vows in 2020","","","vocation_cohort","","","count","2020","PASS","","","","","false","true","P1",""
"AC-151","vocation","final_profession","who made perpetual profession in 2020","","","vocation_cohort","member","","records","2020","PASS","","","","","false","true","P0",""
"AC-152","vocation","final_profession","how many made perpetual profession in 2020","","","vocation_cohort","","","count","2020","PASS","","","","","false","true","P1",""
"AC-153","vocation","final_profession","who made perpetual vows in 2020","","","vocation_cohort","member","","records","2020","PASS","","","","","false","true","P0",""
"AC-154","vocation","final_profession","how many made perpetual vows in 2020","","","vocation_cohort","","","count","2020","PASS","","","","","false","true","P1",""
"AC-155","vocation","ordination","who was ordained in 2010","","","ordination_cohort","member","","records","2010","PASS","","","","","false","true","P0",""
"AC-156","vocation","ordination","how many were ordained in 2010","","","ordination_cohort","","","count","2010","PASS","","","","","false","true","P1",""
"AC-157","vocation","ordination","who made ordination in 2010","","","ordination_cohort","member","","records","2010","PASS","","","","","false","true","P0",""
"AC-158","vocation","ordination","how many made ordination in 2010","","","ordination_cohort","","","count","2010","PASS","","","","","false","true","P1",""
"AC-159","vocation","ordination","who made priestly ordination in 2010","","","ordination_cohort","member","","records","2010","PASS","","","","","false","true","P0",""
"AC-160","vocation","ordination","how many made priestly ordination in 2010","","","ordination_cohort","","","count","2010","PASS","","","","","false","true","P1",""
"AC-161","vocation","member","when did Joseph Varghese make first profession","","","member_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-162","vocation","member","when did Joseph Varghese make final profession","","","member_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-163","vocation","member","when was Joseph Varghese ordained","","","member_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-164","vocation","range","who made first profession between 1990 and 2000","","","profession_cohort","","","records","1990..2000","PASS","","","","","false","false","P1",""
"AC-165","vocation","range","who was ordained between 2000 and 2010","","","ordination_cohort","","","records","2000..2010","PASS","","","","","false","false","P1",""
"AC-166","appointment_history","member","show appointment history of Joseph Varghese","","","member_appointment_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-167","appointment_history","member","appointment history Joseph Varghese","","","member_appointment_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-168","appointment_history","member","appointments of Joseph Varghese","","","member_appointment_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-169","appointment_history","member","what appointments has Joseph Varghese held","","","member_appointment_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-170","appointment_history","member","what offices did Joseph Varghese hold","","","member_appointment_history","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-171","appointment_history","location","where is Joseph Varghese now","","","member_current_location","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-172","appointment_history","location","where is Joseph Varghese","","","member_current_location","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-173","appointment_history","location","current assignment of Joseph Varghese","","","member_current_location","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-174","appointment_history","location","where does Joseph Varghese live","","","member_current_location","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-175","appointment_history","location","where is Fr Joseph Varghese assigned","","","member_current_location","member","Joseph Varghese","records","","PASS","","","","","false","false","P0",""
"AC-176","appointment_history","historical_location","where was Joseph Varghese in 2010","","","member_historical_location","member","","records","2010","PASS","","","","","false","false","P1",""
"AC-177","appointment_history","historical_location","which community was Joseph Varghese in during 2010","","","member_historical_location","member","","records","2010","PASS","","","","","false","false","P1",""
"AC-178","appointment_history","historical_location","where did Joseph Varghese serve in 2010","","","member_historical_location","member","","records","2010","PASS","","","","","false","false","P1",""
"AC-179","appointment_history","historical_location","Joseph Varghese location in 2010","","","member_historical_location","member","","records","2010","PASS","","","","","false","false","P1",""
"AC-180","appointment_history","advanced","previous assignment of Joseph Varghese","","","previous_assignment","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 2 latest completed assignment"
"AC-181","appointment_history","advanced","when was Joseph Varghese provincial","","","member_office_tenure","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 2 named-member Provincial terms"
"AC-182","appointment_history","advanced","how long was Joseph Varghese provincial","","","member_office_tenure","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 2 named-member Provincial terms"
"AC-183","appointment_history","advanced","appointments before 2010","","","appointment_period_search","","","records","2010","PASS","","","","","false","false","P2","Wave 2 authorized appointment start-date filter"
"AC-184","appointment_history","advanced","appointments after 2020","","","appointment_period_search","","","records","2020","PASS","","","","","false","false","P2","Wave 2 authorized appointment start-date filter"
"AC-185","appointment_history","advanced","compare appointments of Joseph and Francis","","","member_appointment_comparison","member","","records","","PASS","","","","","false","false","P2","Wave 2 explicitly scoped two-member comparison"
"AC-186","qualifications_eligibility","qualification","who has a masters degree","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-187","qualifications_eligibility","qualification","who studied theology","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-188","qualifications_eligibility","qualification","who has an M.Ed.","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-189","qualifications_eligibility","qualification","who has an M.Th.","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-190","qualifications_eligibility","qualification","who studied outside India","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-191","qualifications_eligibility","eligibility","who is eligible to be school principal","","","eligibility_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-192","qualifications_eligibility","eligibility","who is eligible for novice master","","","eligibility_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-193","qualifications_eligibility","eligibility","who is eligible to be chaplain","","","eligibility_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-194","qualifications_eligibility","eligibility","show members eligible for principal","","","eligibility_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-195","qualifications_eligibility","decision_boundary","who should we appoint as Provincial","","","decision_boundary","","","records","","UNSUPPORTED","","recommend","","","false","false","P0",""
"AC-196","qualifications_eligibility","decision_boundary","who is the best candidate for principal","","","decision_boundary","","","records","","UNSUPPORTED","","recommend","","","false","false","P0",""
"AC-197","qualifications_eligibility","advanced","who has theology masters","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P2","Wave 3 normalized qualification aliases"
"AC-198","qualifications_eligibility","advanced","who has formation diploma","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P2","Wave 3 normalized qualification aliases"
"AC-199","qualifications_eligibility","advanced","who has BTh","","","education_qualification_search","member","","records","","PASS","","","","","false","false","P2","Wave 3 normalized qualification aliases"
"AC-200","qualifications_eligibility","advanced","who can be formation director","","","eligibility_search","member","","records","","PASS","","","","","false","false","P2","Wave 3 recorded Formation Director eligibility"
"AC-201","qualifications_eligibility","advanced","which current appointments are compliant","","","appointment_compliance","member","","records","","PASS","","","","","false","false","P2","Wave 3 current appointment compliance summary"
"AC-202","qualifications_eligibility","advanced","show appointment compliance issues","","","appointment_compliance","member","","records","","PASS","","","","","false","false","P2","Wave 3 recorded non-compliance issues only"
"AC-203","aggregations","members","how many members are there now","","","present_state","","","count","","PASS","","","","","false","false","P0",""
"AC-204","aggregations","members","total members","","","present_state","","","count","","PASS","","","","","false","false","P0",""
"AC-205","aggregations","members","current membership","","","present_state","","","count","","PASS","","","","","false","false","P0",""
"AC-206","aggregations","members","congregation strength","","","present_state","","","count","","PASS","","","","","false","false","P1",""
"AC-207","aggregations","members","how many members do we have","","","present_state","","","count","","PASS","","","","","false","false","P1",""
"AC-208","aggregations","communities","how many communities","","","present_state","","","count","","PASS","","","","","false","false","P1",""
"AC-209","aggregations","communities","how many communities are there","","","present_state","","","count","","PASS","","","","","false","false","P1",""
"AC-210","aggregations","communities","total communities","","","present_state","","","count","","PASS","","","","","false","false","P1",""
"AC-211","aggregations","age","how many members over 60","","","age_search","","","count","","PASS","","","","","false","false","P1",""
"AC-212","aggregations","age","how many members under 40","","","age_search","","","count","","PASS","","","","","false","false","P1",""
"AC-213","aggregations","age","how many members between 50 and 65","","","age_search","","","count","","PASS","","","","","false","false","P1",""
"AC-214","aggregations","ranking","which community has most members","","","community_size_ranking","","","single","","PASS","","","","","false","false","P1",""
"AC-215","aggregations","ranking","which community has fewest members","","","community_size_ranking","","","single","","PASS","","","","","false","false","P1",""
"AC-216","aggregations","member_category","how many priests","","","present_state","","","count","","PASS","","","","","false","false","P2","Wave 1 active canonical ecclesiastical-title count"
"AC-217","aggregations","member_category","how many brothers","","","present_state","","","count","","PASS","","","","","false","false","P2","Wave 1 active canonical ecclesiastical-title count"
"AC-218","aggregations","known_gap","how many communities have fewer than 5 members","","","community_size_threshold","","","count","","PASS","","","","","false","false","P2","Current active communities grouped by distinct current active members"
